ds,y
2017-01-01,2272.0
2017-02-01,1928.0
2017-03-01,4476.0
2017-04-01,625.0
2017-05-01,788.0
2017-06-01,187.0
2017-07-01,696.0
2017-08-01,1369.0
2017-09-01,1096.0
2017-10-01,879.0
2017-11-01,668.0
2017-12-01,1874.0
2018-01-01,2036.0
2018-02-01,4388.0
2018-03-01,4044.0
2018-04-01,1066.0
2018-05-01,4003.0
2018-06-01,18084.0
2018-07-01,3601.0
2018-08-01,9951.0
2018-09-01,1733.0
2018-10-01,3970.0
2018-11-01,1601.0
2018-12-01,2041.0
2019-01-01,2239.0
2019-02-01,5311.0
2019-03-01,1665.0
2019-04-01,1796.0
2019-05-01,577.0
2019-06-01,730.0
2019-07-01,2336.0
2019-08-01,3565.0
2019-09-01,2258.0
2019-10-01,1899.0
2019-11-01,2701.0
2019-12-01,1071.0
2020-01-01,4041.0
2020-02-01,2152.0
2020-03-01,120.0
2020-04-01,322.0
2020-05-01,1046.0
2020-06-01,6030.0
2020-07-01,2727.0
2020-08-01,358.0
2020-09-01,1259.0
2020-10-01,5998.0
2020-11-01,432.0
2020-12-01,2332.0
