ds,y
2017-01-01,379.0
2017-02-01,520.0
2017-03-01,1494.0
2017-04-01,1245.0
2017-05-01,1311.0
2017-06-01,913.0
2017-07-01,1445.0
2017-08-01,1110.0
2017-09-01,4339.0
2017-10-01,7030.0
2017-11-01,1698.0
2017-12-01,1234.0
2018-01-01,2338.0
2018-02-01,4749.0
2018-03-01,1992.0
2018-04-01,1112.0
2018-05-01,3172.0
2018-06-01,3263.0
2018-07-01,2414.0
2018-08-01,2212.0
2018-09-01,2805.0
2018-10-01,3226.0
2018-11-01,3311.0
2018-12-01,1557.0
2019-01-01,304.0
2019-02-01,612.0
2019-03-01,5782.0
2019-04-01,2153.0
2019-05-01,768.0
2019-06-01,4213.0
2019-07-01,2452.0
2019-08-01,2761.0
2019-09-01,1781.0
2019-10-01,2835.0
2019-11-01,1481.0
2019-12-01,822.0
2020-01-01,959.0
2020-02-01,5045.0
2020-03-01,1334.0
2020-04-01,3451.0
2020-05-01,1267.0
2020-06-01,2349.0
2020-07-01,4187.0
2020-08-01,417.0
2020-09-01,723.0
2020-10-01,220.0
2020-11-01,922.0
2020-12-01,1155.0
