ds,y
2017-01-01,1356.0
2017-02-01,519.0
2017-03-01,1874.0
2017-04-01,545.0
2017-05-01,2555.0
2017-06-01,2914.0
2017-07-01,4164.0
2017-08-01,870.0
2017-09-01,1986.0
2017-10-01,478.0
2017-11-01,2559.0
2017-12-01,783.0
2018-01-01,2461.0
2018-02-01,3559.0
2018-03-01,3203.0
2018-04-01,1923.0
2018-05-01,4021.0
2018-06-01,5539.0
2018-07-01,1869.0
2018-08-01,4707.0
2018-09-01,1756.0
2018-10-01,1982.0
2018-11-01,9393.0
2018-12-01,2228.0
2019-01-01,560.0
2019-02-01,641.0
2019-03-01,6961.0
2019-04-01,605.0
2019-05-01,2331.73482428115
2019-06-01,426.0
2019-07-01,774.0
2019-08-01,5121.0
2019-09-01,2862.0
2019-10-01,1368.0
2019-11-01,5676.0
2019-12-01,538.0
2020-01-01,869.0
2020-02-01,1894.0
2020-03-01,1005.0
2020-04-01,2175.0
2020-05-01,405.0
2020-06-01,2403.0
2020-07-01,3729.0
2020-08-01,1256.0
2020-09-01,1933.0
2020-10-01,481.0
2020-11-01,789.0
2020-12-01,932.0
