ds,y
2017-01-01,1322.0
2017-02-01,1497.0
2017-03-01,921.0
2017-04-01,2331.0
2017-05-01,2853.0
2017-06-01,1481.0
2017-07-01,4907.0
2017-08-01,3665.0
2017-09-01,6190.0
2017-10-01,2083.0
2017-11-01,820.0
2017-12-01,590.0
2018-01-01,1452.0
2018-02-01,2263.0
2018-03-01,5091.0
2018-04-01,2392.0
2018-05-01,2985.0
2018-06-01,1013.0
2018-07-01,624.0
2018-08-01,1039.0
2018-09-01,1020.0
2018-10-01,3125.0
2018-11-01,4641.0
2018-12-01,269.0
2019-01-01,407.0
2019-02-01,10685.0
2019-03-01,1553.0
2019-04-01,1897.0
2019-05-01,2239.0
2019-06-01,1836.0
2019-07-01,1415.0
2019-08-01,822.0
2019-09-01,757.0
2019-10-01,3057.0
2019-11-01,4598.0
2019-12-01,1298.0
2020-01-01,771.0
2020-02-01,876.0
2020-03-01,2244.0
2020-04-01,2203.0
2020-05-01,746.0
2020-06-01,459.0
2020-07-01,873.0
2020-08-01,2733.0
2020-09-01,775.0
2020-10-01,568.0
2020-11-01,2116.0
2020-12-01,2132.0
