ds,y
2017-01-01,1424.0
2017-02-01,1157.0
2017-03-01,989.0
2017-04-01,963.0
2017-05-01,990.0
2017-06-01,3506.0
2017-07-01,2260.0
2017-08-01,1191.0
2017-09-01,1569.0
2017-10-01,1278.0
2017-11-01,572.0
2017-12-01,1722.0
2018-01-01,1108.0
2018-02-01,2108.0
2018-03-01,2185.0
2018-04-01,3120.0
2018-05-01,1154.0
2018-06-01,1608.0
2018-07-01,957.0
2018-08-01,1115.0
2018-09-01,3576.0
2018-10-01,1251.0
2018-11-01,1203.0
2018-12-01,11317.0
2019-01-01,1482.0
2019-02-01,687.0
2019-03-01,1425.0
2019-04-01,733.0
2019-05-01,3524.5125628140704
2019-06-01,453.0
2019-07-01,1316.0
2019-08-01,1243.0
2019-09-01,1421.0
2019-10-01,11944.0
2019-11-01,747.0
2019-12-01,457.0
2020-01-01,2821.0
2020-02-01,398.0
2020-03-01,1151.0
2020-04-01,1280.0
2020-05-01,735.0
2020-06-01,2567.0
2020-07-01,1830.0
2020-08-01,1924.0
2020-09-01,415.0
2020-10-01,777.0
2020-11-01,1999.0
2020-12-01,687.0
