ds,y
2017-01-01,1287.0
2017-02-01,2000.0
2017-03-01,1000.0
2017-04-01,1347.0
2017-05-01,1364.0
2017-06-01,210.0
2017-07-01,1514.0
2017-08-01,2738.0
2017-09-01,530.0
2017-10-01,1925.0
2017-11-01,2229.0
2017-12-01,356.0
2018-01-01,855.0
2018-02-01,4737.0
2018-03-01,5566.0
2018-04-01,659.0
2018-05-01,1099.0
2018-06-01,2756.0
2018-07-01,10295.0
2018-08-01,2866.0
2018-09-01,1995.0
2018-10-01,3801.0
2018-11-01,4457.0
2018-12-01,1181.0
2019-01-01,682.0
2019-02-01,563.0
2019-03-01,1039.0
2019-04-01,903.0
2019-05-01,3169.0
2019-06-01,3060.0
2019-07-01,2701.0
2019-08-01,754.0
2019-09-01,1707.0
2019-10-01,1325.0
2019-11-01,932.0
2019-12-01,846.0
2020-01-01,703.0
2020-02-01,1082.0
2020-03-01,1468.0
2020-04-01,444.0
2020-05-01,1916.0
2020-06-01,1748.0
2020-07-01,968.0
2020-08-01,1560.0
2020-09-01,2726.0
2020-10-01,118.0
2020-11-01,2686.0
2020-12-01,974.0
