ds,y
2017-01-01,1021.0
2017-02-01,476.0
2017-03-01,758.0
2017-04-01,2369.0
2017-05-01,2500.0
2017-06-01,12134.0
2017-07-01,883.0
2017-08-01,1789.0
2017-09-01,5462.0
2017-10-01,12975.0
2017-11-01,1220.0
2017-12-01,1134.0
2018-01-01,1399.0
2018-02-01,2765.0
2018-03-01,2421.0
2018-04-01,2783.0
2018-05-01,1018.0
2018-06-01,2954.0
2018-07-01,4077.0
2018-08-01,5689.0
2018-09-01,6920.0
2018-10-01,7743.0
2018-11-01,3026.0
2018-12-01,1035.0
2019-01-01,1340.0
2019-02-01,2167.0
2019-03-01,22976.0
2019-04-01,5638.0
2019-05-01,1210.0
2019-06-01,352.0
2019-07-01,812.0
2019-08-01,4143.0
2019-09-01,3145.0
2019-10-01,1316.0
2019-11-01,2711.0
2019-12-01,2430.0
2020-01-01,1457.0
2020-02-01,1587.0
2020-03-01,2036.0
2020-04-01,478.0
2020-05-01,5906.0
2020-06-01,3298.0
2020-07-01,2102.0
2020-08-01,2360.0
2020-09-01,2984.0
2020-10-01,1455.0
2020-11-01,2942.0
2020-12-01,1313.0
