ds,y
2017-01-01,718.0
2017-02-01,2854.0
2017-03-01,1029.0
2017-04-01,1420.0
2017-05-01,2636.0
2017-06-01,845.0
2017-07-01,1899.0
2017-08-01,2352.0
2017-09-01,2157.0
2017-10-01,818.0
2017-11-01,2698.0
2017-12-01,5186.0
2018-01-01,1604.0
2018-02-01,5487.0
2018-03-01,5528.0
2018-04-01,3210.0
2018-05-01,2962.0
2018-06-01,5226.0
2018-07-01,1400.0
2018-08-01,1054.0
2018-09-01,950.0
2018-10-01,6645.0
2018-11-01,5716.0
2018-12-01,1004.0
2019-01-01,1839.0
2019-02-01,2127.0
2019-03-01,4830.0
2019-04-01,604.0
2019-05-01,999.0
2019-06-01,2219.0
2019-07-01,967.0
2019-08-01,1035.0
2019-09-01,616.0
2019-10-01,2848.0
2019-11-01,983.0
2019-12-01,3190.0
2020-01-01,126.0
2020-02-01,1973.0
2020-03-01,2305.0
2020-04-01,133.0
2020-05-01,4597.0
2020-06-01,1237.0
2020-07-01,674.0
2020-08-01,2076.0
2020-09-01,1477.0
2020-10-01,849.0
2020-11-01,1495.0
2020-12-01,3856.0
