ds,y
2017-01-01,2347.0
2017-02-01,796.0
2017-03-01,2179.0
2017-04-01,890.0
2017-05-01,3258.0
2017-06-01,1603.0
2017-07-01,4556.0
2017-08-01,1886.0
2017-09-01,2104.0
2017-10-01,656.0
2017-11-01,4935.0
2017-12-01,985.0
2018-01-01,1694.0
2018-02-01,4947.0
2018-03-01,995.0
2018-04-01,10214.0
2018-05-01,1166.0
2018-06-01,4078.0
2018-07-01,1462.0
2018-08-01,2157.0
2018-09-01,2573.0
2018-10-01,2942.0
2018-11-01,4376.0
2018-12-01,1957.0
2019-01-01,962.0
2019-02-01,1150.0
2019-03-01,16513.0
2019-04-01,1145.0
2019-05-01,4155.0
2019-06-01,742.0
2019-07-01,1300.0
2019-08-01,496.0
2019-09-01,1189.0
2019-10-01,1172.0
2019-11-01,1860.0
2019-12-01,553.0
2020-01-01,2369.0
2020-02-01,1466.0
2020-03-01,1227.0
2020-04-01,1497.0
2020-05-01,1195.0
2020-06-01,2372.0
2020-07-01,1687.0
2020-08-01,1703.0
2020-09-01,829.0
2020-10-01,5982.0
2020-11-01,3780.0
2020-12-01,1447.0
