ds,y
2017-01-01,2172.0
2017-02-01,3115.0
2017-03-01,1608.0
2017-04-01,2201.0
2017-05-01,633.0
2017-06-01,4212.0
2017-07-01,2204.0
2017-08-01,1264.0
2017-09-01,3271.0
2017-10-01,761.0
2017-11-01,716.0
2017-12-01,2953.0
2018-01-01,2367.0
2018-02-01,1804.0
2018-03-01,1244.0
2018-04-01,3223.0
2018-05-01,2875.0
2018-06-01,3164.0
2018-07-01,689.0
2018-08-01,8297.0
2018-09-01,4466.0
2018-10-01,2809.0
2018-11-01,1887.0
2018-12-01,1640.0
2019-01-01,2197.0
2019-02-01,4386.0
2019-03-01,1235.0
2019-04-01,872.0
2019-05-01,639.0
2019-06-01,2106.0
2019-07-01,1941.0
2019-08-01,800.0
2019-09-01,2644.0
2019-10-01,7674.0
2019-11-01,3587.0
2019-12-01,5838.0
2020-01-01,1622.0
2020-02-01,2567.0
2020-03-01,2038.0
2020-04-01,4108.0
2020-05-01,2503.0
2020-06-01,2908.0
2020-07-01,1099.0
2020-08-01,1959.0
2020-09-01,1387.0
2020-10-01,1323.0
2020-11-01,2498.0
2020-12-01,2740.0
