ds,y
2017-01-01,3079.0
2017-02-01,438.0
2017-03-01,9010.0
2017-04-01,1019.0
2017-05-01,8192.0
2017-06-01,1373.0
2017-07-01,1239.0
2017-08-01,3310.0
2017-09-01,4116.0
2017-10-01,886.0
2017-11-01,998.0
2017-12-01,2773.0
2018-01-01,3995.0
2018-02-01,2674.0
2018-03-01,1984.0
2018-04-01,1645.0
2018-05-01,1447.0
2018-06-01,2750.0
2018-07-01,1596.0
2018-08-01,7335.0
2018-09-01,2308.0
2018-10-01,3348.0
2018-11-01,3170.0
2018-12-01,1565.0
2019-01-01,439.0
2019-02-01,3715.0
2019-03-01,1552.0
2019-04-01,42194.0
2019-05-01,389.0
2019-06-01,5344.0
2019-07-01,3324.0
2019-08-01,1705.0
2019-09-01,6175.0
2019-10-01,1105.0
2019-11-01,511.0
2019-12-01,14988.0
2020-01-01,1035.0
2020-02-01,820.0
2020-03-01,738.0
2020-04-01,552.0
2020-05-01,580.0
2020-06-01,4446.0
2020-07-01,1506.0
2020-08-01,1565.0
2020-09-01,3096.0
2020-10-01,420.0
2020-11-01,673.0
2020-12-01,48117.0
