ds,y
2017-01-01,1481.0
2017-02-01,307.0
2017-03-01,1303.0
2017-04-01,1415.0
2017-05-01,795.0
2017-06-01,2839.0
2017-07-01,2871.0
2017-08-01,2013.0
2017-09-01,11455.0
2017-10-01,1345.0
2017-11-01,569.0
2017-12-01,1734.0
2018-01-01,1692.0
2018-02-01,3192.0
2018-03-01,2753.0
2018-04-01,2532.0
2018-05-01,1746.0
2018-06-01,1024.0
2018-07-01,456.0
2018-08-01,2182.0
2018-09-01,1398.0
2018-10-01,2240.0
2018-11-01,16632.0
2018-12-01,218.0
2019-01-01,581.0
2019-02-01,930.0
2019-03-01,1734.0
2019-04-01,1018.0
2019-05-01,680.0
2019-06-01,1918.0
2019-07-01,483.0
2019-08-01,252.0
2019-09-01,3001.0
2019-10-01,3195.0
2019-11-01,2093.0
2019-12-01,4001.0
2020-01-01,1552.0
2020-02-01,1714.0
2020-03-01,1147.0
2020-04-01,494.0
2020-05-01,31910.0
2020-06-01,3779.0
2020-07-01,1593.0
2020-08-01,2388.0
2020-09-01,2971.0
2020-10-01,2609.0
2020-11-01,1038.0
2020-12-01,2951.0
