ds,y
2017-01-01,521.0
2017-02-01,3004.0
2017-03-01,4312.0
2017-04-01,2263.0
2017-05-01,2931.0
2017-06-01,999.0
2017-07-01,1086.0
2017-08-01,5341.0
2017-09-01,1373.0
2017-10-01,5614.0
2017-11-01,1627.0
2017-12-01,655.0
2018-01-01,4189.0
2018-02-01,1563.0
2018-03-01,2383.0
2018-04-01,968.0
2018-05-01,1175.0
2018-06-01,848.0
2018-07-01,11520.0
2018-08-01,3440.0
2018-09-01,1063.0
2018-10-01,2732.0
2018-11-01,1756.0
2018-12-01,461.0
2019-01-01,1593.0
2019-02-01,581.0
2019-03-01,3953.0
2019-04-01,1787.0
2019-05-01,981.0
2019-06-01,1972.0
2019-07-01,1372.0
2019-08-01,1070.0
2019-09-01,1111.0
2019-10-01,251.0
2019-11-01,926.0
2019-12-01,1210.0
2020-01-01,1043.0
2020-02-01,2258.0
2020-03-01,2152.0
2020-04-01,845.0
2020-05-01,657.0
2020-06-01,1877.0
2020-07-01,1575.0
2020-08-01,1520.0
2020-09-01,667.0
2020-10-01,222.0
2020-11-01,3110.0
2020-12-01,6122.0
