ds,y
2017-01-01,1620.0
2017-02-01,1028.0
2017-03-01,1438.0
2017-04-01,2520.0
2017-05-01,1562.0
2017-06-01,3208.0
2017-07-01,677.0
2017-08-01,2731.0
2017-09-01,1665.0
2017-10-01,7649.0
2017-11-01,3211.0
2017-12-01,150.0
2018-01-01,2862.0
2018-02-01,6253.0
2018-03-01,1959.0
2018-04-01,962.0
2018-05-01,1343.0
2018-06-01,3655.0
2018-07-01,5027.0
2018-08-01,4208.0
2018-09-01,1663.0
2018-10-01,10300.0
2018-11-01,1690.0
2018-12-01,731.0
2019-01-01,710.0
2019-02-01,468.0
2019-03-01,1510.0
2019-04-01,932.0
2019-05-01,1443.0
2019-06-01,2177.0
2019-07-01,2259.0
2019-08-01,47120.0
2019-09-01,3154.0
2019-10-01,1461.0
2019-11-01,1707.0
2019-12-01,989.0
2020-01-01,2372.0
2020-02-01,595.0
2020-03-01,898.0
2020-04-01,468.0
2020-05-01,3982.0
2020-06-01,1711.0
2020-07-01,1074.0
2020-08-01,3603.0
2020-09-01,2184.0
2020-10-01,819.0
2020-11-01,2648.0
2020-12-01,3600.0
