ds,y
2017-01-01,2440.0
2017-02-01,226.0
2017-03-01,4033.0
2017-04-01,1711.0
2017-05-01,1257.0
2017-06-01,3019.0
2017-07-01,2547.0
2017-08-01,2797.0
2017-09-01,1995.0
2017-10-01,12987.0
2017-11-01,1653.0
2017-12-01,6400.0
2018-01-01,6130.0
2018-02-01,4532.0
2018-03-01,40038.0
2018-04-01,2795.0
2018-05-01,7365.0
2018-06-01,916.0
2018-07-01,5161.0
2018-08-01,3231.0
2018-09-01,1343.0
2018-10-01,2354.0
2018-11-01,1775.0
2018-12-01,795.0
2019-01-01,935.0
2019-02-01,544.0
2019-03-01,1777.0
2019-04-01,2384.0
2019-05-01,1272.0
2019-06-01,1075.0
2019-07-01,305.0
2019-08-01,548.0
2019-09-01,3314.0
2019-10-01,387.0
2019-11-01,1110.0
2019-12-01,4703.0
2020-01-01,1472.0
2020-02-01,1187.0
2020-03-01,461.0
2020-04-01,249.0
2020-05-01,828.0
2020-06-01,2224.0
2020-07-01,41423.0
2020-08-01,1246.0
2020-09-01,579.0
2020-10-01,1059.0
2020-11-01,5612.0
2020-12-01,1088.0
