ds,y
2017-01-01,1682.0
2017-02-01,2871.0
2017-03-01,1809.0
2017-04-01,1431.0
2017-05-01,7066.0
2017-06-01,1034.0
2017-07-01,1543.0
2017-08-01,1085.0
2017-09-01,3716.0
2017-10-01,3174.0
2017-11-01,1383.0
2017-12-01,1003.0
2018-01-01,989.0
2018-02-01,1631.0
2018-03-01,1563.0
2018-04-01,1509.0
2018-05-01,2646.0
2018-06-01,3064.0
2018-07-01,3564.0
2018-08-01,821.0
2018-09-01,988.0
2018-10-01,6164.0
2018-11-01,4234.0
2018-12-01,373.0
2019-01-01,459.0
2019-02-01,554.0
2019-03-01,3388.0
2019-04-01,1335.0
2019-05-01,2072.0
2019-06-01,1254.0
2019-07-01,666.0
2019-08-01,1681.0
2019-09-01,1081.0
2019-10-01,3923.0
2019-11-01,2019.0
2019-12-01,3514.918367346939
2020-01-01,2681.0
2020-02-01,1696.0
2020-03-01,6092.0
2020-04-01,6099.0
2020-05-01,724.0
2020-06-01,2176.0
2020-07-01,869.0
2020-08-01,587.0
2020-09-01,1483.0
2020-10-01,665.0
2020-11-01,1379.0
2020-12-01,3281.0
