ds,y
2017-01-01,682.0
2017-02-01,924.0
2017-03-01,3391.0
2017-04-01,2906.0
2017-05-01,2302.0
2017-06-01,3258.0
2017-07-01,3433.0
2017-08-01,2431.0
2017-09-01,2244.0
2017-10-01,1892.0
2017-11-01,258.0
2017-12-01,1162.0
2018-01-01,1234.0
2018-02-01,1180.0
2018-03-01,1555.0
2018-04-01,3161.0
2018-05-01,1604.0
2018-06-01,1448.0
2018-07-01,5151.0
2018-08-01,2828.0
2018-09-01,3139.0
2018-10-01,2747.0
2018-11-01,1759.0
2018-12-01,2495.0
2019-01-01,2237.0
2019-02-01,3582.0
2019-03-01,1363.0
2019-04-01,3987.0
2019-05-01,2504.0
2019-06-01,1502.69
2019-07-01,1032.0
2019-08-01,2308.0
2019-09-01,2418.0
2019-10-01,405.0
2019-11-01,2471.0
2019-12-01,620.0
2020-01-01,8211.0
2020-02-01,1405.0
2020-03-01,706.0
2020-04-01,647.0
2020-05-01,2221.0
2020-06-01,274.0
2020-07-01,1010.0
2020-08-01,1041.0
2020-09-01,536.0
2020-10-01,737.0
2020-11-01,996.0
2020-12-01,1700.0
