ds,y
2017-01-01,1395.0
2017-02-01,2281.0
2017-03-01,3380.0
2017-04-01,1629.0
2017-05-01,1966.0
2017-06-01,2570.0
2017-07-01,4701.0
2017-08-01,722.0
2017-09-01,674.0
2017-10-01,2910.0
2017-11-01,2671.0
2017-12-01,2027.0
2018-01-01,3123.0
2018-02-01,1161.0
2018-03-01,1275.0
2018-04-01,-417.0
2018-05-01,1424.0
2018-06-01,7622.0
2018-07-01,4329.0
2018-08-01,987.0
2018-09-01,4438.0
2018-10-01,6911.0
2018-11-01,1439.0
2018-12-01,816.0
2019-01-01,302.0
2019-02-01,1417.0
2019-03-01,3343.0
2019-04-01,2770.0
2019-05-01,1950.0
2019-06-01,550.0
2019-07-01,723.0
2019-08-01,287.0
2019-09-01,1221.0
2019-10-01,7323.0
2019-11-01,2372.0
2019-12-01,157.0
2020-01-01,1217.0
2020-02-01,771.0
2020-03-01,4101.0
2020-04-01,431.0
2020-05-01,2759.0
2020-06-01,5627.0
2020-07-01,1135.0
2020-08-01,703.0
2020-09-01,653.0
2020-10-01,1092.0
2020-11-01,812.0
2020-12-01,2164.0
