ds,y
2017-01-01,1790.0
2017-02-01,1314.0
2017-03-01,1134.0
2017-04-01,842.0
2017-05-01,4614.0
2017-06-01,3013.0
2017-07-01,1678.0
2017-08-01,2784.0
2017-09-01,1002.0
2017-10-01,878.0
2017-11-01,978.0
2017-12-01,5005.0
2018-01-01,4378.0
2018-02-01,1795.0
2018-03-01,12211.0
2018-04-01,4122.0
2018-05-01,2531.0
2018-06-01,3590.0
2018-07-01,1106.0
2018-08-01,1268.0
2018-09-01,1399.0
2018-10-01,2259.0
2018-11-01,1513.0
2018-12-01,4869.0
2019-01-01,238.0
2019-02-01,587.0
2019-03-01,6144.0
2019-04-01,595.0
2019-05-01,1605.0
2019-06-01,11308.0
2019-07-01,1462.0
2019-08-01,4068.0
2019-09-01,2378.0
2019-10-01,1598.0
2019-11-01,6120.0
2019-12-01,718.0
2020-01-01,2472.0
2020-02-01,3980.0
2020-03-01,430.0
2020-04-01,396.0
2020-05-01,1141.0
2020-06-01,2527.0
2020-07-01,1875.0
2020-08-01,4289.0
2020-09-01,915.0
2020-10-01,29198.0
2020-11-01,2651.0
2020-12-01,5283.0
