ds,y
2017-01-01,759.0
2017-02-01,2639.0
2017-03-01,1006.0
2017-04-01,2582.0
2017-05-01,4471.0
2017-06-01,5113.0
2017-07-01,926.0
2017-08-01,4295.0
2017-09-01,1510.0
2017-10-01,2213.0
2017-11-01,1559.0
2017-12-01,812.0
2018-01-01,2468.0
2018-02-01,1108.0
2018-03-01,3971.0
2018-04-01,3074.0
2018-05-01,1235.0
2018-06-01,13546.0
2018-07-01,4935.0
2018-08-01,1124.0
2018-09-01,982.0
2018-10-01,2588.0
2018-11-01,17938.0
2018-12-01,516.0
2019-01-01,527.0
2019-02-01,5270.0
2019-03-01,2024.0
2019-04-01,1049.0
2019-05-01,2738.0
2019-06-01,1949.0
2019-07-01,2475.0
2019-08-01,1265.0
2019-09-01,3402.0
2019-10-01,723.0
2019-11-01,861.0
2019-12-01,718.0
2020-01-01,801.0
2020-02-01,1026.0
2020-03-01,656.0
2020-04-01,950.0
2020-05-01,1493.0
2020-06-01,1141.0
2020-07-01,3662.0
2020-08-01,1523.0
2020-09-01,970.0
2020-10-01,1639.0
2020-11-01,3637.0
2020-12-01,12227.0
