ds,y
2017-01-01,1270.0
2017-02-01,1690.0
2017-03-01,804.0
2017-04-01,1480.0
2017-05-01,1511.0
2017-06-01,5759.0
2017-07-01,1696.0
2017-08-01,12336.0
2017-09-01,1330.0
2017-10-01,2080.0
2017-11-01,2494.0
2017-12-01,6920.0
2018-01-01,1492.0
2018-02-01,2142.0
2018-03-01,934.0
2018-04-01,31792.0
2018-05-01,1810.0
2018-06-01,2850.0
2018-07-01,690.0
2018-08-01,951.0
2018-09-01,1893.0
2018-10-01,1144.0
2018-11-01,780.0
2018-12-01,2941.0
2019-01-01,468.0
2019-02-01,3797.0
2019-03-01,13359.0
2019-04-01,2737.0
2019-05-01,1133.0
2019-06-01,616.0
2019-07-01,1840.0
2019-08-01,1696.0
2019-09-01,1689.0
2019-10-01,1865.0
2019-11-01,1159.0
2019-12-01,1116.0
2020-01-01,701.0
2020-02-01,1481.0
2020-03-01,1677.0
2020-04-01,1832.0
2020-05-01,1744.0
2020-06-01,3373.0
2020-07-01,1586.0
2020-08-01,2424.0
2020-09-01,2668.0
2020-10-01,1563.0
2020-11-01,3214.0
2020-12-01,1104.0
