ds,y
2017-01-01,4229.0
2017-02-01,750.0
2017-03-01,1668.0
2017-04-01,934.0
2017-05-01,638.0
2017-06-01,531.0
2017-07-01,5757.0
2017-08-01,700.0
2017-09-01,1981.0
2017-10-01,1224.0
2017-11-01,981.0
2017-12-01,1179.0
2018-01-01,1408.0
2018-02-01,4084.0
2018-03-01,1753.0
2018-04-01,1204.0
2018-05-01,2379.0
2018-06-01,1490.0
2018-07-01,2197.0
2018-08-01,7130.0
2018-09-01,6057.0
2018-10-01,2146.0
2018-11-01,1398.0
2018-12-01,3180.0
2019-01-01,812.0
2019-02-01,1233.0
2019-03-01,839.0
2019-04-01,783.0
2019-05-01,5344.0
2019-06-01,1538.0
2019-07-01,945.0
2019-08-01,1036.0
2019-09-01,11167.0
2019-10-01,1507.0
2019-11-01,1586.0
2019-12-01,51205.0
2020-01-01,779.0
2020-02-01,2487.0
2020-03-01,2913.0
2020-04-01,518.0
2020-05-01,986.0
2020-06-01,5161.0
2020-07-01,199.0
2020-08-01,921.0
2020-09-01,2194.0
2020-10-01,92472.0
2020-11-01,1522.0
2020-12-01,3609.0
