ds,y
2017-01-01,3937.0
2017-02-01,821.0
2017-03-01,1540.0
2017-04-01,4288.0
2017-05-01,2604.0
2017-06-01,559.0
2017-07-01,1305.0
2017-08-01,3131.0
2017-09-01,1663.0
2017-10-01,1117.0
2017-11-01,3543.0
2017-12-01,358.0
2018-01-01,1707.0
2018-02-01,1950.0
2018-03-01,2354.0
2018-04-01,2999.0
2018-05-01,1160.0
2018-06-01,1879.0
2018-07-01,1325.0
2018-08-01,6503.0
2018-09-01,11353.0
2018-10-01,4090.0
2018-11-01,1577.0
2018-12-01,672.0
2019-01-01,785.0
2019-02-01,3787.0
2019-03-01,4270.0
2019-04-01,1222.0
2019-05-01,553.8744939271251
2019-06-01,2997.0
2019-07-01,1531.0
2019-08-01,755.0
2019-09-01,489.0
2019-10-01,1448.0
2019-11-01,906.0
2019-12-01,5005.0
2020-01-01,1157.0
2020-02-01,795.0
2020-03-01,406.0
2020-04-01,5266.0
2020-05-01,1354.0
2020-06-01,7679.0
2020-07-01,1902.0
2020-08-01,678.0
2020-09-01,4897.0
2020-10-01,780.0
2020-11-01,2313.0
2020-12-01,2697.0
