ds,y
2017-01-01,1651.0
2017-02-01,2124.0
2017-03-01,732.0
2017-04-01,1100.0
2017-05-01,1675.0
2017-06-01,3164.0
2017-07-01,1801.0
2017-08-01,1331.0
2017-09-01,2533.0
2017-10-01,652.0
2017-11-01,1682.0
2017-12-01,1732.0
2018-01-01,5418.0
2018-02-01,2307.0
2018-03-01,8052.0
2018-04-01,1305.0
2018-05-01,6622.0
2018-06-01,2939.0
2018-07-01,2211.0
2018-08-01,831.0
2018-09-01,15729.0
2018-10-01,2292.0
2018-11-01,3746.0
2018-12-01,1315.0
2019-01-01,1299.0
2019-02-01,921.0
2019-03-01,1171.0
2019-04-01,978.0
2019-05-01,1172.0
2019-06-01,1703.0
2019-07-01,1251.0
2019-08-01,3746.0
2019-09-01,4069.0
2019-10-01,927.0
2019-11-01,408.0
2019-12-01,-27.0
2020-01-01,534.0
2020-02-01,1457.0
2020-03-01,2438.0
2020-04-01,414.0
2020-05-01,2471.0
2020-06-01,633.0
2020-07-01,2599.0
2020-08-01,2944.0
2020-09-01,869.0
2020-10-01,2196.0
2020-11-01,905.0
2020-12-01,867.0
