ds,y
2017-01-01,1211.0
2017-02-01,793.0
2017-03-01,3811.0
2017-04-01,1693.0
2017-05-01,1357.0
2017-06-01,1217.0
2017-07-01,2709.0
2017-08-01,617.0
2017-09-01,2065.0
2017-10-01,3455.0
2017-11-01,3076.0
2017-12-01,1204.0
2018-01-01,5203.0
2018-02-01,4596.0
2018-03-01,3061.0
2018-04-01,4644.0
2018-05-01,2029.0
2018-06-01,-1296.0
2018-07-01,212.0
2018-08-01,942.0
2018-09-01,2769.0
2018-10-01,1695.0
2018-11-01,4906.0
2018-12-01,10886.0
2019-01-01,1444.0
2019-02-01,1921.0
2019-03-01,1184.0
2019-04-01,2868.0
2019-05-01,1008.0
2019-06-01,3419.0
2019-07-01,1936.0
2019-08-01,7481.0
2019-09-01,894.0
2019-10-01,1439.0
2019-11-01,6826.0
2019-12-01,7113.0
2020-01-01,2454.0
2020-02-01,1422.0
2020-03-01,1886.0
2020-04-01,328.0
2020-05-01,3576.0
2020-06-01,1749.0
2020-07-01,1496.0
2020-08-01,4146.0
2020-09-01,1392.0
2020-10-01,553.0
2020-11-01,1130.0
2020-12-01,2746.0
