ds,y
2017-01-01,1581.0
2017-02-01,741.0
2017-03-01,1160.0
2017-04-01,2597.0
2017-05-01,1056.0
2017-06-01,1086.0
2017-07-01,1354.551275878671
2017-08-01,1708.0
2017-09-01,3616.0
2017-10-01,850.0
2017-11-01,674.0
2017-12-01,935.0
2018-01-01,2112.0
2018-02-01,3591.0
2018-03-01,3508.0
2018-04-01,657.0
2018-05-01,3831.0
2018-06-01,630.0
2018-07-01,1459.0
2018-08-01,10499.0
2018-09-01,2111.0
2018-10-01,2266.0
2018-11-01,15900.0
2018-12-01,1050.0
2019-01-01,438.0
2019-02-01,11209.0
2019-03-01,3291.0
2019-04-01,2418.0
2019-05-01,1830.0
2019-06-01,3552.0
2019-07-01,905.0
2019-08-01,468.0
2019-09-01,6586.0
2019-10-01,1680.0
2019-11-01,2762.0
2019-12-01,2144.0
2020-01-01,1046.0
2020-02-01,1652.0
2020-03-01,427.0
2020-04-01,314.0
2020-05-01,262.0
2020-06-01,2254.0
2020-07-01,2961.0
2020-08-01,1434.0
2020-09-01,2658.0
2020-10-01,464.0
2020-11-01,1433.0
2020-12-01,1466.0
