ds,y
2017-01-01,866.0
2017-02-01,936.0
2017-03-01,1465.0
2017-04-01,1964.0
2017-05-01,454.0
2017-06-01,3571.0
2017-07-01,5787.0
2017-08-01,2383.0
2017-09-01,519.0
2017-10-01,1460.0
2017-11-01,3323.0
2017-12-01,703.0
2018-01-01,3458.0
2018-02-01,4171.0
2018-03-01,1817.0
2018-04-01,12597.0
2018-05-01,2275.0
2018-06-01,25270.0
2018-07-01,2524.0
2018-08-01,944.0
2018-09-01,1562.0
2018-10-01,8659.0
2018-11-01,3115.0
2018-12-01,912.0
2019-01-01,695.0
2019-02-01,1028.0
2019-03-01,1344.0
2019-04-01,2514.0
2019-05-01,2361.0
2019-06-01,514.0
2019-07-01,379.0
2019-08-01,768.0
2019-09-01,316.0
2019-10-01,6815.0
2019-11-01,15708.0
2019-12-01,2809.0
2020-01-01,3191.0
2020-02-01,2531.0
2020-03-01,2441.0
2020-04-01,233.0
2020-05-01,3043.0
2020-06-01,1600.0
2020-07-01,1828.0
2020-08-01,1705.0
2020-09-01,792.0
2020-10-01,617.0
2020-11-01,2141.0
2020-12-01,1424.0
