ds,y
2017-01-01,877.0
2017-02-01,1398.0
2017-03-01,1194.0
2017-04-01,1238.0
2017-05-01,514.0
2017-06-01,6112.0
2017-07-01,946.0
2017-08-01,3796.0
2017-09-01,1573.0
2017-10-01,800.0
2017-11-01,1214.0
2017-12-01,2965.0
2018-01-01,194.0
2018-02-01,1238.0
2018-03-01,1092.0
2018-04-01,2403.0
2018-05-01,1862.0
2018-06-01,2865.0
2018-07-01,1335.0
2018-08-01,404.0
2018-09-01,2997.0
2018-10-01,5117.0
2018-11-01,2879.0
2018-12-01,541.0
2019-01-01,2337.0
2019-02-01,3122.0
2019-03-01,6491.0
2019-04-01,970.0
2019-05-01,1078.0
2019-06-01,512.0
2019-07-01,1064.0
2019-08-01,259.0
2019-09-01,1492.0
2019-10-01,2011.0
2019-11-01,693.0
2019-12-01,1268.0
2020-01-01,9222.0
2020-02-01,2241.0
2020-03-01,4515.0
2020-04-01,534.0
2020-05-01,2054.0
2020-06-01,2127.0
2020-07-01,1385.0
2020-08-01,3522.0
2020-09-01,1969.0
2020-10-01,1128.0
2020-11-01,598.0
2020-12-01,1297.0
