ds,y
2017-01-01,1237.0
2017-02-01,1229.0
2017-03-01,1602.0
2017-04-01,1064.0
2017-05-01,2980.0
2017-06-01,1339.0
2017-07-01,3488.0
2017-08-01,2639.0
2017-09-01,6642.0
2017-10-01,4533.0
2017-11-01,1382.0
2017-12-01,1646.0
2018-01-01,5369.0
2018-02-01,1460.0
2018-03-01,1696.0
2018-04-01,1593.0
2018-05-01,2551.0
2018-06-01,6638.0
2018-07-01,4391.0
2018-08-01,1235.0
2018-09-01,2127.0
2018-10-01,6980.0
2018-11-01,2005.0
2018-12-01,702.0
2019-01-01,1747.0
2019-02-01,1079.0
2019-03-01,1006.0
2019-04-01,1159.0
2019-05-01,805.0
2019-06-01,3642.0
2019-07-01,687.0
2019-08-01,4157.0
2019-09-01,1306.0
2019-10-01,3404.0
2019-11-01,6300.0
2019-12-01,2145.0
2020-01-01,-809.0
2020-02-01,2324.0
2020-03-01,3670.0
2020-04-01,6434.0
2020-05-01,610.0
2020-06-01,3348.0
2020-07-01,1995.0
2020-08-01,4219.0
2020-09-01,1666.0
2020-10-01,1092.0
2020-11-01,2358.0
2020-12-01,5804.0
