ds,y
2017-01-01,1581.0
2017-02-01,8700.0
2017-03-01,1887.0
2017-04-01,1234.0
2017-05-01,3709.0
2017-06-01,1302.0
2017-07-01,1649.0
2017-08-01,3244.0
2017-09-01,5272.0
2017-10-01,569.0
2017-11-01,1122.0
2017-12-01,3765.0
2018-01-01,1590.0
2018-02-01,1032.0
2018-03-01,1497.0
2018-04-01,497.0
2018-05-01,1095.0
2018-06-01,2339.0
2018-07-01,1329.0
2018-08-01,1436.0
2018-09-01,2970.0
2018-10-01,11562.0
2018-11-01,10070.0
2018-12-01,718.0
2019-01-01,337.0
2019-02-01,3287.0
2019-03-01,7106.0
2019-04-01,2056.0
2019-05-01,654.0
2019-06-01,206.0
2019-07-01,726.0
2019-08-01,5870.0
2019-09-01,2081.0
2019-10-01,1450.0
2019-11-01,3286.0
2019-12-01,183.0
2020-01-01,3031.0
2020-02-01,2342.0
2020-03-01,45.0
2020-04-01,2794.0
2020-05-01,1070.0
2020-06-01,1918.0
2020-07-01,8197.0
2020-08-01,1658.0
2020-09-01,934.0
2020-10-01,1151.0
2020-11-01,2965.0
2020-12-01,1511.0
