ds,y
2017-01-01,2153.0
2017-02-01,701.0
2017-03-01,956.0
2017-04-01,5707.0
2017-05-01,1429.0
2017-06-01,3784.0
2017-07-01,1528.0
2017-08-01,1157.0
2017-09-01,2447.0
2017-10-01,7816.0
2017-11-01,1618.0
2017-12-01,3055.0
2018-01-01,892.0
2018-02-01,2063.0
2018-03-01,1824.0
2018-04-01,1643.0
2018-05-01,526.0
2018-06-01,856.0
2018-07-01,2631.0
2018-08-01,1678.0
2018-09-01,1723.0
2018-10-01,1638.0
2018-11-01,2101.0
2018-12-01,2262.0
2019-01-01,2865.0
2019-02-01,2201.0
2019-03-01,672.0
2019-04-01,1376.0
2019-05-01,728.0
2019-06-01,1744.0
2019-07-01,1361.0
2019-08-01,5985.0
2019-09-01,15368.0
2019-10-01,479.0
2019-11-01,1010.0
2019-12-01,1753.0
2020-01-01,3457.0
2020-02-01,1073.0
2020-03-01,1986.0
2020-04-01,470.0
2020-05-01,7906.0
2020-06-01,5496.0
2020-07-01,6174.0
2020-08-01,1637.0
2020-09-01,5616.0
2020-10-01,257.0
2020-11-01,3675.0
2020-12-01,3399.0
