ds,y
2017-01-01,370.0
2017-02-01,1513.0
2017-03-01,991.0
2017-04-01,1363.0
2017-05-01,3064.0
2017-06-01,1920.0
2017-07-01,2047.0
2017-08-01,549.0
2017-09-01,3015.0
2017-10-01,1932.0
2017-11-01,1089.0
2017-12-01,1377.0
2018-01-01,490.0
2018-02-01,2491.0
2018-03-01,2010.0
2018-04-01,561.0
2018-05-01,2525.0
2018-06-01,1365.0
2018-07-01,7302.0
2018-08-01,4580.0
2018-09-01,1488.0
2018-10-01,3259.0
2018-11-01,909.0
2018-12-01,367.0
2019-01-01,154.0
2019-02-01,4127.0
2019-03-01,544.0
2019-04-01,1031.0
2019-05-01,901.0
2019-06-01,3322.0
2019-07-01,527.0
2019-08-01,2832.0
2019-09-01,2550.0
2019-10-01,934.0
2019-11-01,1955.0
2019-12-01,4950.0
2020-01-01,1391.0
2020-02-01,913.0
2020-03-01,1016.0
2020-04-01,2460.0
2020-05-01,5466.0
2020-06-01,692.0
2020-07-01,5999.0
2020-08-01,2235.0
2020-09-01,5451.0
2020-10-01,-174.0
2020-11-01,4669.0
2020-12-01,1199.0
