ds,y
2017-01-01,951.0
2017-02-01,2491.0
2017-03-01,3198.0
2017-04-01,1176.0
2017-05-01,452.0
2017-06-01,1648.0
2017-07-01,4120.0
2017-08-01,3929.0
2017-09-01,5190.0
2017-10-01,6141.0
2017-11-01,4952.0
2017-12-01,1670.0
2018-01-01,1325.0
2018-02-01,1355.0
2018-03-01,4367.0
2018-04-01,2113.0
2018-05-01,1482.0
2018-06-01,2397.0
2018-07-01,1590.0
2018-08-01,5912.0
2018-09-01,587.0
2018-10-01,3075.0
2018-11-01,1288.0
2018-12-01,964.0
2019-01-01,491.0
2019-02-01,2216.0
2019-03-01,6813.0
2019-04-01,1855.0
2019-05-01,771.0100502512563
2019-06-01,645.0
2019-07-01,558.0
2019-08-01,482.0
2019-09-01,1576.0
2019-10-01,2942.0
2019-11-01,3182.0
2019-12-01,2377.0
2020-01-01,1655.0
2020-02-01,647.0
2020-03-01,810.0
2020-04-01,1590.0
2020-05-01,2707.0
2020-06-01,1209.0
2020-07-01,2095.0
2020-08-01,1459.0
2020-09-01,4758.0
2020-10-01,789.0
2020-11-01,1709.0
2020-12-01,3202.0
