ds,y
2017-01-01,1510.0
2017-02-01,674.0
2017-03-01,2430.0
2017-04-01,1678.0
2017-05-01,1741.0
2017-06-01,3918.0
2017-07-01,5455.0
2017-08-01,1367.0
2017-09-01,5292.0
2017-10-01,1938.0
2017-11-01,3346.0
2017-12-01,1851.0
2018-01-01,1418.0
2018-02-01,3337.0
2018-03-01,2856.0
2018-04-01,3072.0
2018-05-01,10559.0
2018-06-01,1632.0
2018-07-01,2046.0
2018-08-01,1224.0
2018-09-01,3149.0
2018-10-01,2901.0
2018-11-01,2218.0
2018-12-01,7667.0
2019-01-01,971.0
2019-02-01,1316.0
2019-03-01,1324.0
2019-04-01,602.0
2019-05-01,1047.0
2019-06-01,1359.0
2019-07-01,4148.0
2019-08-01,992.0
2019-09-01,1220.0
2019-10-01,1948.0
2019-11-01,6193.0
2019-12-01,296.0
2020-01-01,2991.0
2020-02-01,2500.0
2020-03-01,1616.0
2020-04-01,5176.0
2020-05-01,1100.0
2020-06-01,742.0
2020-07-01,2596.0
2020-08-01,819.0
2020-09-01,1189.0
2020-10-01,935.0
2020-11-01,3726.0
2020-12-01,4566.0
