ds,y
2017-01-01,285.0
2017-02-01,1110.0
2017-03-01,1303.0
2017-04-01,5140.0
2017-05-01,529.0
2017-06-01,939.0
2017-07-01,1158.0
2017-08-01,439.0
2017-09-01,4461.0
2017-10-01,3396.0
2017-11-01,2120.0
2017-12-01,825.0
2018-01-01,586.0
2018-02-01,2498.0
2018-03-01,5508.0
2018-04-01,1189.0
2018-05-01,1783.0
2018-06-01,1871.0
2018-07-01,1753.0
2018-08-01,792.0
2018-09-01,2494.0
2018-10-01,1186.0
2018-11-01,2291.0
2018-12-01,2965.0
2019-01-01,192.0
2019-02-01,1072.0
2019-03-01,3127.0
2019-04-01,650.0
2019-05-01,1691.0
2019-06-01,2096.0
2019-07-01,1833.0
2019-08-01,429.0
2019-09-01,1201.0
2019-10-01,628.0
2019-11-01,779.0
2019-12-01,6676.0
2020-01-01,1466.0
2020-02-01,788.0
2020-03-01,1394.0
2020-04-01,2005.0
2020-05-01,3865.0
2020-06-01,1302.0
2020-07-01,1364.0
2020-08-01,1628.0
2020-09-01,1227.0
2020-10-01,4803.0
2020-11-01,2014.0
2020-12-01,6341.0
