ds,y
2017-01-01,1572.0
2017-02-01,5863.0
2017-03-01,1740.0
2017-04-01,1774.0
2017-05-01,4420.0
2017-06-01,1563.0
2017-07-01,9298.0
2017-08-01,4242.0
2017-09-01,878.0
2017-10-01,3457.0
2017-11-01,1238.0
2017-12-01,745.0
2018-01-01,2807.0
2018-02-01,2615.0
2018-03-01,3976.0
2018-04-01,1189.0
2018-05-01,872.0
2018-06-01,3648.0
2018-07-01,1488.0
2018-08-01,818.0
2018-09-01,2401.0
2018-10-01,2870.0
2018-11-01,4180.0
2018-12-01,2871.0
2019-01-01,339.0
2019-02-01,738.0
2019-03-01,1268.0
2019-04-01,2115.0
2019-05-01,944.0
2019-06-01,4016.0
2019-07-01,1247.0
2019-08-01,2020.0
2019-09-01,1505.0
2019-10-01,2028.0
2019-11-01,883.0
2019-12-01,261.0
2020-01-01,530.0
2020-02-01,1162.0
2020-03-01,2059.0
2020-04-01,410.0
2020-05-01,3052.0
2020-06-01,1334.0
2020-07-01,442.0
2020-08-01,1115.0
2020-09-01,1510.0
2020-10-01,717.0
2020-11-01,2334.0
2020-12-01,2559.0
