ds,y
2017-01-01,580.0
2017-02-01,1394.0
2017-03-01,1575.0
2017-04-01,1257.0
2017-05-01,3956.0
2017-06-01,1720.0
2017-07-01,1585.0
2017-08-01,3345.0
2017-09-01,1770.0
2017-10-01,2901.0
2017-11-01,1179.0
2017-12-01,876.0
2018-01-01,1312.0
2018-02-01,580.0
2018-03-01,1639.0
2018-04-01,4100.0
2018-05-01,2335.0
2018-06-01,3828.0
2018-07-01,3558.0
2018-08-01,2316.0
2018-09-01,2414.0
2018-10-01,3477.0
2018-11-01,1496.0
2018-12-01,-34.0
2019-01-01,157.0
2019-02-01,1083.0
2019-03-01,1920.0
2019-04-01,355.0
2019-05-01,2255.0
2019-06-01,6385.0
2019-07-01,2446.0
2019-08-01,6550.0
2019-09-01,821.0
2019-10-01,1913.0
2019-11-01,3857.0
2019-12-01,2022.0
2020-01-01,189.0
2020-02-01,80.0
2020-03-01,3478.0
2020-04-01,1253.0
2020-05-01,1435.0
2020-06-01,1250.0
2020-07-01,3007.0
2020-08-01,1405.0
2020-09-01,1105.0
2020-10-01,732.0
2020-11-01,1271.0
2020-12-01,2208.0
