ds,y
2017-01-01,529.0
2017-02-01,3306.0
2017-03-01,2657.0
2017-04-01,877.0
2017-05-01,1952.0
2017-06-01,2086.0
2017-07-01,2155.0
2017-08-01,942.0
2017-09-01,1246.0
2017-10-01,957.0
2017-11-01,1156.0
2017-12-01,2170.0
2018-01-01,2042.0
2018-02-01,2682.0
2018-03-01,3176.0
2018-04-01,1408.0
2018-05-01,1021.0
2018-06-01,1782.0
2018-07-01,606.0
2018-08-01,-690.0
2018-09-01,1181.0
2018-10-01,2788.0
2018-11-01,7719.0
2018-12-01,495.0
2019-01-01,485.0
2019-02-01,5744.0
2019-03-01,8295.0
2019-04-01,3160.0
2019-05-01,5569.0
2019-06-01,1236.0
2019-07-01,664.0
2019-08-01,1493.0
2019-09-01,970.0
2019-10-01,4493.0
2019-11-01,5624.0
2019-12-01,906.0
2020-01-01,959.0
2020-02-01,828.0
2020-03-01,1668.0
2020-04-01,828.0
2020-05-01,937.0
2020-06-01,2650.0
2020-07-01,3284.0
2020-08-01,7459.0
2020-09-01,4168.0
2020-10-01,1263.0
2020-11-01,2799.0
2020-12-01,1793.0
