ds,y
2017-01-01,2225.0
2017-02-01,1604.0
2017-03-01,1547.0
2017-04-01,1192.0
2017-05-01,541.0
2017-06-01,535.0
2017-07-01,1680.0
2017-08-01,1608.0
2017-09-01,890.0
2017-10-01,4511.0
2017-11-01,2506.0
2017-12-01,2733.0
2018-01-01,1875.0
2018-02-01,2058.0
2018-03-01,3328.0
2018-04-01,1685.0
2018-05-01,2259.0
2018-06-01,16972.0
2018-07-01,2005.0
2018-08-01,3519.0
2018-09-01,3295.0
2018-10-01,6058.0
2018-11-01,1441.0
2018-12-01,1606.0
2019-01-01,1403.0
2019-02-01,651.0
2019-03-01,2524.0
2019-04-01,944.0
2019-05-01,1067.0
2019-06-01,683.0
2019-07-01,714.0
2019-08-01,4767.0
2019-09-01,3303.0
2019-10-01,4857.0
2019-11-01,3026.0
2019-12-01,4669.0
2020-01-01,1678.0
2020-02-01,1800.0
2020-03-01,2666.0
2020-04-01,1070.0
2020-05-01,1638.0
2020-06-01,2079.0
2020-07-01,1930.0
2020-08-01,97.0
2020-09-01,586.0
2020-10-01,366.0
2020-11-01,3436.0
2020-12-01,2304.0
