ds,y
2017-01-01,1595.0
2017-02-01,1821.0
2017-03-01,3221.0
2017-04-01,11911.0
2017-05-01,1481.0
2017-06-01,1520.0
2017-07-01,4197.0
2017-08-01,2320.0
2017-09-01,145.0
2017-10-01,2908.0
2017-11-01,1947.0
2017-12-01,7144.0
2018-01-01,346.0
2018-02-01,644.0
2018-03-01,1590.0
2018-04-01,2642.0
2018-05-01,1285.0
2018-06-01,4684.0
2018-07-01,1410.0
2018-08-01,1370.0
2018-09-01,2355.0
2018-10-01,2511.0
2018-11-01,1934.0
2018-12-01,794.0
2019-01-01,795.0
2019-02-01,2557.0
2019-03-01,552.0
2019-04-01,1335.0
2019-05-01,2700.0
2019-06-01,913.0
2019-07-01,226.0
2019-08-01,893.0
2019-09-01,1896.0
2019-10-01,796.0
2019-11-01,1043.0
2019-12-01,5436.0
2020-01-01,3006.0
2020-02-01,444.0
2020-03-01,837.0
2020-04-01,845.0
2020-05-01,1088.0
2020-06-01,564.0
2020-07-01,12696.0
2020-08-01,1906.0
2020-09-01,1702.0
2020-10-01,414.0
2020-11-01,3841.0
2020-12-01,642.0
