ds,y
2017-01-01,841.0
2017-02-01,2789.0
2017-03-01,3171.0
2017-04-01,460.0
2017-05-01,2620.0
2017-06-01,1661.0
2017-07-01,2654.0
2017-08-01,637.0
2017-09-01,1915.0
2017-10-01,1901.0
2017-11-01,2239.0
2017-12-01,849.0
2018-01-01,1216.0
2018-02-01,656.0
2018-03-01,2800.0
2018-04-01,3340.0
2018-05-01,1606.0
2018-06-01,7277.0
2018-07-01,1214.0
2018-08-01,2758.0
2018-09-01,1420.0
2018-10-01,930.0
2018-11-01,2663.0
2018-12-01,1685.0
2019-01-01,314.0
2019-02-01,3860.0
2019-03-01,1090.0
2019-04-01,424.0
2019-05-01,772.0
2019-06-01,1771.0
2019-07-01,2917.0
2019-08-01,1382.0
2019-09-01,1090.0
2019-10-01,542.0
2019-11-01,1566.0
2019-12-01,1103.0
2020-01-01,2787.0
2020-02-01,2367.0
2020-03-01,2028.0
2020-04-01,462.0
2020-05-01,1581.0
2020-06-01,1697.0
2020-07-01,844.0
2020-08-01,173.0
2020-09-01,6078.0
2020-10-01,189.0
2020-11-01,2202.0
2020-12-01,3095.0
