ds,y
2017-01-01,1324.0
2017-02-01,4625.0
2017-03-01,4860.0
2017-04-01,1494.0
2017-05-01,552.0
2017-06-01,1436.0
2017-07-01,988.0
2017-08-01,1275.0
2017-09-01,1331.0
2017-10-01,2353.0
2017-11-01,926.0
2017-12-01,225.0
2018-01-01,2393.0
2018-02-01,2887.0
2018-03-01,2234.0
2018-04-01,756.0
2018-05-01,1205.0
2018-06-01,2794.0
2018-07-01,1323.0
2018-08-01,1576.0
2018-09-01,3026.0
2018-10-01,1702.0
2018-11-01,1309.0
2018-12-01,6117.0
2019-01-01,907.0
2019-02-01,9681.0
2019-03-01,3588.0
2019-04-01,4924.0
2019-05-01,491.0
2019-06-01,1273.0
2019-07-01,596.0
2019-08-01,320.0
2019-09-01,1870.0
2019-10-01,565.0
2019-11-01,1143.0
2019-12-01,852.0
2020-01-01,2550.0
2020-02-01,10885.0
2020-03-01,1633.0
2020-04-01,122.0
2020-05-01,554.0
2020-06-01,3978.0
2020-07-01,1730.0
2020-08-01,1250.0
2020-09-01,2452.0
2020-10-01,413.0
2020-11-01,3745.0
2020-12-01,2527.0
