ds,y
2017-01-01,892.0
2017-02-01,2553.0
2017-03-01,2429.0
2017-04-01,711.0
2017-05-01,1841.0
2017-06-01,2616.0
2017-07-01,1278.0
2017-08-01,2374.0
2017-09-01,3691.0
2017-10-01,1739.0
2017-11-01,811.0
2017-12-01,1310.0
2018-01-01,2292.0
2018-02-01,1647.0
2018-03-01,2212.0
2018-04-01,2084.0
2018-05-01,3575.0
2018-06-01,1945.0
2018-07-01,1852.0
2018-08-01,11750.0
2018-09-01,1254.0
2018-10-01,1444.0
2018-11-01,7207.0
2018-12-01,1286.0
2019-01-01,248.0
2019-02-01,1091.0
2019-03-01,556.0
2019-04-01,1939.0
2019-05-01,885.0
2019-06-01,2262.0
2019-07-01,2313.0
2019-08-01,1217.0
2019-09-01,1757.0
2019-10-01,538.0
2019-11-01,4150.0
2019-12-01,4124.0
2020-01-01,1576.0
2020-02-01,3169.0
2020-03-01,1673.0
2020-04-01,1441.0
2020-05-01,753.0
2020-06-01,1874.0
2020-07-01,2893.0
2020-08-01,605.0
2020-09-01,3609.0
2020-10-01,2282.0
2020-11-01,1714.0
2020-12-01,585.0
