ds,y
2017-01-01,369.0
2017-02-01,1619.0
2017-03-01,1536.0
2017-04-01,6487.0
2017-05-01,1116.0
2017-06-01,1146.0
2017-07-01,1999.0
2017-08-01,2466.0
2017-09-01,1394.0
2017-10-01,1512.0
2017-11-01,1434.0
2017-12-01,470.0
2018-01-01,771.0
2018-02-01,2606.0
2018-03-01,1442.0
2018-04-01,1525.0
2018-05-01,2152.0
2018-06-01,1784.0
2018-07-01,3271.0
2018-08-01,2111.0
2018-09-01,2340.0
2018-10-01,1773.0
2018-11-01,3044.0
2018-12-01,895.0
2019-01-01,368.0
2019-02-01,1686.0
2019-03-01,2819.0
2019-04-01,2280.0
2019-05-01,1868.0
2019-06-01,1923.0
2019-07-01,1117.0
2019-08-01,12895.0
2019-09-01,1324.0
2019-10-01,56.0
2019-11-01,5019.0
2019-12-01,999.0
2020-01-01,444.0
2020-02-01,1054.0
2020-03-01,1073.0
2020-04-01,1116.0
2020-05-01,1306.0
2020-06-01,5744.0
2020-07-01,1348.0
2020-08-01,348.0
2020-09-01,1300.0
2020-10-01,1487.0
2020-11-01,587.0
2020-12-01,4084.0
