ds,y
2017-01-01,3970.0
2017-02-01,1230.0
2017-03-01,1842.0
2017-04-01,1530.0
2017-05-01,1750.0
2017-06-01,2333.0
2017-07-01,6763.0
2017-08-01,520.0
2017-09-01,30398.0
2017-10-01,1611.0
2017-11-01,2653.0
2017-12-01,1269.0
2018-01-01,1904.0
2018-02-01,15600.0
2018-03-01,4844.0
2018-04-01,7354.0
2018-05-01,3693.0
2018-06-01,6146.0
2018-07-01,1857.0
2018-08-01,7837.0
2018-09-01,7744.0
2018-10-01,1090.0
2018-11-01,5064.0
2018-12-01,300.0
2019-01-01,1805.0
2019-02-01,2201.0
2019-03-01,4273.0
2019-04-01,1157.0
2019-05-01,1321.0
2019-06-01,1892.0
2019-07-01,828.0
2019-08-01,1603.0
2019-09-01,2658.0
2019-10-01,2423.0
2019-11-01,2591.0
2019-12-01,755.0
2020-01-01,700.0
2020-02-01,1297.0
2020-03-01,786.0
2020-04-01,1314.0
2020-05-01,2616.0
2020-06-01,6773.0
2020-07-01,6065.0
2020-08-01,1655.0
2020-09-01,435.0
2020-10-01,115.0
2020-11-01,2365.0
2020-12-01,596.0
