ds,y
2017-01-01,982.0
2017-02-01,2014.0
2017-03-01,1035.0
2017-04-01,1630.0
2017-05-01,3204.0
2017-06-01,1454.0
2017-07-01,849.0
2017-08-01,2447.0
2017-09-01,3218.0
2017-10-01,4581.0
2017-11-01,2689.0
2017-12-01,813.0
2018-01-01,2992.0
2018-02-01,681.0
2018-03-01,4295.0
2018-04-01,1513.0
2018-05-01,3853.0
2018-06-01,1776.0
2018-07-01,2874.0
2018-08-01,3342.0
2018-09-01,2232.0
2018-10-01,5050.0
2018-11-01,857.0
2018-12-01,947.0
2019-01-01,462.0
2019-02-01,2583.0
2019-03-01,1223.0
2019-04-01,1724.0
2019-05-01,2085.0
2019-06-01,2090.0
2019-07-01,5176.0
2019-08-01,2072.0
2019-09-01,2667.0
2019-10-01,997.0
2019-11-01,4693.0
2019-12-01,2896.0
2020-01-01,1615.0
2020-02-01,2514.0
2020-03-01,1591.0
2020-04-01,2294.0
2020-05-01,1899.0
2020-06-01,1705.0
2020-07-01,460.0
2020-08-01,1295.0
2020-09-01,790.0
2020-10-01,4497.0
2020-11-01,1423.0
2020-12-01,1320.0
