ds,y
2017-01-01,1683.0
2017-02-01,2399.0
2017-03-01,1385.0
2017-04-01,1088.0
2017-05-01,12322.0
2017-06-01,4074.0
2017-07-01,1539.0
2017-08-01,375.0
2017-09-01,1509.0
2017-10-01,1561.0
2017-11-01,2803.0
2017-12-01,32250.0
2018-01-01,725.0
2018-02-01,3107.0
2018-03-01,4303.0
2018-04-01,1134.0
2018-05-01,2682.0
2018-06-01,17005.0
2018-07-01,2220.0
2018-08-01,4190.0
2018-09-01,908.0
2018-10-01,6567.0
2018-11-01,3452.0
2018-12-01,1857.0
2019-01-01,261.0
2019-02-01,1617.0
2019-03-01,380.0
2019-04-01,5725.0
2019-05-01,3239.0
2019-06-01,1392.0
2019-07-01,1058.0
2019-08-01,16159.0
2019-09-01,2964.0
2019-10-01,1266.0
2019-11-01,253.0
2019-12-01,3202.0
2020-01-01,1901.0
2020-02-01,130.0
2020-03-01,1494.0
2020-04-01,1885.0
2020-05-01,1387.0
2020-06-01,7289.0
2020-07-01,2955.0
2020-08-01,1086.0
2020-09-01,1427.0
2020-10-01,748.0
2020-11-01,2236.0
2020-12-01,1068.0
